subject,task,segment_label,start_s,end_s,velocity_kmh,status,marker_ik,n_frames
erna,rd,rd_pronation,176.715,178.215,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_rd_rd_pronation_marker_ik_176.72_178.22.mot,151
erna,rgs,rgs_correct,32.533,34.033,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_rgs_rgs_correct_marker_ik_32.53_34.03.mot,151
erna,rgs,rgs_flexion,117.055,118.555,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_rgs_rgs_flexion_marker_ik_117.06_118.56.mot,151
erna,rgs,rgs_abduction,211.936,213.436,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_rgs_rgs_abduction_marker_ik_211.94_213.44.mot,151
erna,rgs,rgs_stork,304.96,306.46,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/erna_rgs_rgs_stork_marker_ik_304.96_306.46.mot,151
etsuko,ng,ng_v0,4.79,6.29,3.04,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_ng_ng_v0_marker_ik_4.79_6.29.mot,151
etsuko,ng,ng_v1,37.81,39.31,3.56,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_ng_ng_v1_marker_ik_37.81_39.31.mot,151
etsuko,ng,ng_v2,69.97,71.47,4.09,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_ng_ng_v2_marker_ik_69.97_71.47.mot,151
etsuko,gwo,gwo_v0,5.29,6.79,3.05,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_gwo_gwo_v0_marker_ik_5.29_6.79.mot,151
etsuko,gwo,gwo_v1,37.1,38.6,3.55,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_gwo_gwo_v1_marker_ik_37.10_38.60.mot,151
etsuko,gwo,gwo_v2,70.53,72.03,4.08,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_gwo_gwo_v2_marker_ik_70.53_72.03.mot,151
etsuko,rd,rd_correct,36.75,38.25,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_rd_rd_correct_marker_ik_36.75_38.25.mot,151
etsuko,rd,rd_toes,72.565,74.065,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_rd_rd_toes_marker_ik_72.56_74.06.mot,151
etsuko,rd,rd_supination,116.359,117.859,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_rd_rd_supination_marker_ik_116.36_117.86.mot,151
etsuko,rd,rd_pronation,170.354,171.854,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_rd_rd_pronation_marker_ik_170.35_171.85.mot,151
etsuko,rgs,rgs_correct,28.179,29.679,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/etsuko_rgs_rgs_correct_marker_ik_28.18_29.68.mot,151
